"Inv_ID","InvoiceNo","InvoiceDate","TaxType","Customer_ID","SalesmanID","SubTotal","CGST","SGST","IGST","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPaid","Balance","Remarks","Time","RewardsClaimed"
"10126","INV-2024-10126                ","2024-06-19 00:00:00","Exclusive           ","4","0","5688.58","511.97","511.97","0.00","0.00","0.00","6712.52","0.48","6713.00","0.00","6713.00","","Wednesday, 19 June 2024 11:32:51 AM","0.00"
"10127","INV-2024-10127                ","2024-06-19 00:00:00","Exclusive           ","4","0","629.25","56.63","56.63","0.00","0.00","0.00","742.51","0.49","743.00","0.00","743.00","","Wednesday, 19 June 2024 11:40:26 AM","0.00"
"10128","INV-2024-10128                ","2024-06-19 00:00:00","Exclusive           ","5","0","5210.84","468.97","468.97","0.00","0.00","0.00","6148.78","0.22","6149.00","6149.00","0.00","","Wednesday, 19 June 2024 11:43:14 AM","0.00"
"10129","INV-2024-10129                ","2024-06-19 00:00:00","Exclusive           ","38","0","11627.67","1046.49","1046.49","0.00","0.00","0.00","13720.65","0.35","13721.00","0.00","13721.00","","Wednesday, 19 June 2024 11:49:54 AM","0.00"
"10130","INV-2024-10130                ","2024-06-19 00:00:00","Exclusive           ","39","0","3915.28","352.38","352.38","0.00","0.00","0.00","4620.04","-0.04","4620.00","4620.00","0.00","","Wednesday, 19 June 2024 11:55:24 AM","0.00"
"10131","INV-2024-10131                ","2024-06-21 00:00:00","Exclusive           ","16","0","11556.54","1040.09","1040.09","0.00","0.00","0.00","13636.72","0.28","13637.00","0.00","13637.00","","Friday, 21 June 2024 07:11:14 PM","0.00"
"10132","INV-2024-10132                ","2024-06-21 00:00:00","Exclusive           ","12","0","3916.31","218.98","218.98","0.00","0.00","0.00","4354.27","-0.27","4354.00","0.00","4354.00","","Friday, 21 June 2024 07:17:37 PM","0.00"
"10133","INV-2024-10133                ","2024-06-21 00:00:00","Exclusive           ","2","0","2129.48","191.66","191.66","0.00","0.00","0.00","2512.80","0.20","2513.00","0.00","2513.00","","Friday, 21 June 2024 07:19:13 PM","0.00"
"10134","INV-2024-10134                ","2024-06-21 00:00:00","Exclusive           ","2","0","1906.94","171.62","171.62","0.00","0.00","0.00","2250.18","-0.18","2250.00","2250.00","0.00","","Friday, 21 June 2024 07:20:28 PM","0.00"
"10135","INV-2024-10135                ","2024-06-21 00:00:00","Exclusive           ","28","0","24862.01","2237.60","2237.60","0.00","0.00","0.00","29337.21","-0.21","29337.00","0.00","29337.00","","Monday, 24 June 2024 10:01:36 PM","0.00"
"10136","INV-2024-10136                ","2024-06-21 00:00:00","Exclusive           ","28","0","4767.03","429.04","429.04","0.00","0.00","0.00","5625.11","-0.11","5625.00","0.00","5625.00","","Monday, 24 June 2024 10:05:06 PM","0.00"
"10137","INV-2024-10137                ","2024-06-22 00:00:00","Exclusive           ","28","0","82826.14","7454.34","7454.34","0.00","0.00","0.00","97734.82","0.18","97735.00","0.00","97735.00","","Thursday, 04 July 2024 10:55:49 AM","0.00"
"10139","INV-2024-10139                ","2024-06-24 00:00:00","Exclusive           ","10","0","10259.46","923.35","923.35","0.00","0.00","363.18","12106.16","-0.16","11742.82","11742.82","0.00","","Monday, 24 June 2024 10:17:06 PM","0.00"
"10140","INV-2024-10140                ","2024-06-24 00:00:00","Exclusive           ","32","0","12330.51","1109.75","1109.75","0.00","0.00","0.00","14550.01","-0.01","14550.00","14550.00","0.00","","Tuesday, 25 June 2024 04:11:53 PM","0.00"
"10141","INV-2024-10141                ","2024-06-25 00:00:00","Exclusive           ","21","0","4938.71","444.48","444.48","0.00","0.00","0.00","5827.67","0.33","5828.00","5828.00","0.00","","Tuesday, 25 June 2024 04:14:53 PM","0.00"
"10142","INV-2024-10142                ","2024-06-25 00:00:00","Exclusive           ","5","0","10839.98","975.62","975.62","0.00","0.00","0.00","12791.22","-0.22","12791.00","0.00","12791.00","","Tuesday, 25 June 2024 04:20:53 PM","0.00"
"10143","INV-2024-10143                ","2024-06-28 00:00:00","Exclusive           ","23","0","4119.12","370.72","370.72","0.00","0.00","0.00","4860.56","0.44","4861.00","4861.00","0.00","","Friday, 28 June 2024 11:34:34 AM","0.00"
"10144","INV-2024-10144                ","2024-06-28 00:00:00","Exclusive           ","40","0","7731.99","695.87","695.87","0.00","0.00","0.00","9123.73","0.27","9124.00","9124.00","0.00","","Thursday, 04 July 2024 09:55:42 AM","0.00"
"10145","INV-2024-10145                ","2024-06-28 00:00:00","Exclusive           ","10","0","40945.44","3685.09","3685.09","0.00","0.00","0.00","48315.62","0.38","48316.00","0.00","48316.00","","Friday, 12 July 2024 11:23:34 AM","0.00"
"10146","INV-2024-10146                ","2024-06-28 00:00:00","Exclusive           ","2","0","3343.68","300.94","300.94","0.00","0.00","0.00","3945.56","0.44","3946.00","0.00","3946.00","","Thursday, 04 July 2024 10:06:06 AM","0.00"
"10147","INV-2024-10147                ","2024-07-02 00:00:00","Exclusive           ","28","0","25399.20","2285.91","2285.91","0.00","0.00","0.00","29971.02","-0.02","29971.00","0.00","29971.00","","Tuesday, 02 July 2024 04:57:25 PM","0.00"
"10148","INV-2024-10148                ","2024-07-02 00:00:00","Exclusive           ","11","0","21775.34","1959.79","1959.79","0.00","0.00","0.00","25694.92","0.08","25695.00","0.00","25695.00","","Tuesday, 02 July 2024 05:06:13 PM","0.00"
"10149","INV-2024-10149                ","2024-07-02 00:00:00","Exclusive           ","31","0","41276.84","3714.90","3714.90","0.00","0.00","0.00","48706.64","0.36","48707.00","48707.00","0.00","","Tuesday, 02 July 2024 05:20:38 PM","0.00"
